bead_type,a
C12_B1,1.0005104863650967
C12_B2,1.0004824319038006
C12_B3,1.0005001219402614
C12_B4,1.0004889834592108
C4H_B1,0.9999980958513986
C4H_B2,0.9999976998311109
H2O_B1,0.9985257651998164
