bead_type_i,bead_type_j,gamma,b
C12_B1,C12_B1,1.000016779237006,
C12_B1,C12_B2,1.000020050643622,
C12_B1,C12_B3,1.000033838377474,0.9010756654351677
C12_B1,C12_B4,1.0000172025467042,
C12_B1,C4H_B1,1.0000193700590765,
C12_B1,C4H_B2,1.0000191552457738,
C12_B1,H2O_B1,1.001067044600398,
C12_B2,C12_B2,1.0000255818867942,
C12_B2,C12_B3,1.000022693373517,
C12_B2,C12_B4,1.0000447259841467,0.9010414610122068
C12_B2,C4H_B1,1.0000181015405263,
C12_B2,C4H_B2,1.0000182759525735,
C12_B2,H2O_B1,1.0009587348483908,
C12_B3,C12_B3,1.000013588445987,
C12_B3,C12_B4,1.000029662793685,0.9006430866505415
C12_B3,C4H_B1,1.0000189948716927,
C12_B3,C4H_B2,1.0000188630838407,
C12_B3,H2O_B1,1.0010848882417742,
C12_B4,C12_B4,1.0000182903758765,
C12_B4,C4H_B1,1.0000183643434952,
C12_B4,C4H_B2,1.0000182688109618,
C12_B4,H2O_B1,1.001042125378843,
C4H_B1,C4H_B1,1.0000004992207672,
C4H_B1,C4H_B2,1.000000930807799,0.9893391254741645
C4H_B1,H2O_B1,0.999912182472945,
C4H_B2,C4H_B2,1.0000004339642035,
C4H_B2,H2O_B1,0.999912187760564,
H2O_B1,H2O_B1,0.9954004927969021,
