#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
10250,6734.578201293945,7565.849598452449,14300.427799746394,303.3208497016464,59.82922259027367,2.9975020815986686
10500,6740.069789886475,7480.954579306301,14221.024369192775,299.91734174027823,59.82922259027367,2.9975020815986686
10750,6706.575798034668,7589.493538465351,14296.069336500019,304.26875381759334,59.82922259027367,2.9975020815986686
11000,6762.346332550049,7480.114531308878,14242.460863858927,299.88366355661196,59.82922259027367,2.9975020815986686
11250,6738.842811584473,7586.362840877846,14325.205652462319,304.143241693668,59.82922259027367,2.9975020815986686
11500,6730.406272888184,7543.327118487097,14273.733391375281,302.41790579936793,59.82922259027367,2.9975020815986686
11750,6737.775772094727,7339.588652668521,14077.364424763247,294.2498707671039,59.82922259027367,2.9975020815986686
12000,6761.7752113342285,7310.03173144348,14071.806942777708,293.06491059258786,59.82922259027367,2.9975020815986686
12250,6735.194728851318,7320.631398420781,14055.8261272721,293.4898595625974,59.82922259027367,2.9975020815986686
12500,6761.0710525512695,7577.503497770056,14338.574550321326,303.7880636737662,59.82922259027367,2.9975020815986686
12750,6722.900745391846,7407.570113701746,14130.470859093592,296.975300906341,59.82922259027367,2.9975020815986686
13000,6719.891464233398,7178.5348593452945,13898.426323578693,287.79309776325425,59.82922259027367,2.9975020815986686
13250,6748.409652709961,7555.761421246454,14304.171073956415,302.91640675809526,59.82922259027367,2.9975020815986686
13500,6709.795555114746,7596.194843184203,14305.990398298949,304.53741438439175,59.82922259027367,2.9975020815986686
13750,6813.981906890869,7661.82371712476,14475.80562401563,307.1685274602694,59.82922259027367,2.9975020815986686
14000,6762.039524078369,7208.029835797846,13970.069359876215,288.97557452321365,59.82922259027367,2.9975020815986686
14250,6748.143463134766,7220.8814078923315,13969.024871027097,289.49080413714864,59.82922259027367,2.9975020815986686
14500,6705.324600219727,7335.975888831541,14041.300489051268,294.1050322288083,59.82922259027367,2.9975020815986686
14750,6754.262603759766,7372.03416794911,14126.296771708876,295.5506369448943,59.82922259027367,2.9975020815986686
15000,6719.119380950928,7495.315770979971,14214.435151930898,300.49309318821565,59.82922259027367,2.9975020815986686
15250,6789.426475524902,7621.967683915049,14411.394159439951,305.57066780133835,59.82922259027367,2.9975020815986686
15500,6719.888473510742,7633.848193477839,14353.736666988581,306.0469667560798,59.82922259027367,2.9975020815986686
15750,6671.240135192871,7260.989859214984,13932.229994407855,291.09878343637934,59.82922259027367,2.9975020815986686
16000,6741.387882232666,7350.985792832304,14092.37367506497,294.7067910631873,59.82922259027367,2.9975020815986686
16250,6768.515510559082,7707.385397735983,14475.900908295065,308.9951310025415,59.82922259027367,2.9975020815986686
16500,6714.549827575684,7520.796886643395,14235.346714219078,301.514651118201,59.82922259027367,2.9975020815986686
16750,6797.3236083984375,7386.155947562307,14183.479555960745,296.1167901753855,59.82922259027367,2.9975020815986686
17000,6745.134014129639,7271.220622323453,14016.354636453092,291.5089427606926,59.82922259027367,2.9975020815986686
17250,6687.544471740723,7684.4652038402855,14372.009675581008,308.0762424365843,59.82922259027367,2.9975020815986686
