#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
10500,47320.89912414551,2294.332957855426,49615.23208200093,296.7148689176512,45.11750744639256,1.2322233898899828
11000,47288.35070800781,2191.121742710471,49479.472450718284,283.36706686140906,45.11750744639256,1.2322233898899828
11500,47359.94711303711,2296.45731998235,49656.40443301946,296.9896022896606,45.11750744639256,1.2322233898899828
12000,47341.625885009766,2345.7244480736554,49687.35033308342,303.3610791947498,45.11750744639256,1.2322233898899828
12500,47291.99331665039,2480.1711998954415,49772.16451654583,320.748420559751,45.11750744639256,1.2322233898899828
13000,47297.25784301758,2264.6763496343046,49561.93419265188,292.87952470976546,45.11750744639256,1.2322233898899828
13500,47402.562072753906,2473.8539325855672,49876.41600533947,319.9314392513714,45.11750744639256,1.2322233898899828
14000,47374.26301574707,2266.581612549722,49640.84462829679,293.1259230514997,45.11750744639256,1.2322233898899828
14500,47313.204818725586,2275.0221053287387,49588.226924054325,294.21749073349264,45.11750744639256,1.2322233898899828
15000,47318.262954711914,2410.6144222319126,49728.87737694383,311.75298243203497,45.11750744639256,1.2322233898899828
15500,47600.069732666016,2306.2045729029924,49906.27430556901,298.2501668745668,45.11750744639256,1.2322233898899828
16000,47296.60623168945,2370.3103804141283,49666.91661210358,306.540657671642,45.11750744639256,1.2322233898899828
16500,47160.6188659668,2360.462427380495,49521.08129334729,305.26707003324924,45.11750744639256,1.2322233898899828
17000,47273.45701599121,2356.62086481601,49630.07788080722,304.77025952069596,45.11750744639256,1.2322233898899828
17500,47347.415435791016,2282.4079942349344,49629.82343002595,295.1726716505164,45.11750744639256,1.2322233898899828
18000,47202.5431060791,2321.7232029922307,49524.26630907133,300.25711546367387,45.11750744639256,1.2322233898899828
18500,47235.68505859375,2201.8273538537323,49437.51241244748,284.7515712317012,45.11750744639256,1.2322233898899828
19000,47427.46907043457,2312.212720222771,49739.68179065734,299.0271712053124,45.11750744639256,1.2322233898899828
19500,47379.88247680664,2303.8829715698957,49683.76544837654,297.9499255199411,45.11750744639256,1.2322233898899828
20000,47341.600646972656,2298.9383951351047,49640.53904210776,297.310467614026,45.11750744639256,1.2322233898899828
20500,47329.91960144043,2201.3401105385274,49531.25971197896,284.68855843492855,45.11750744639256,1.2322233898899828
21000,47411.98208618164,2392.362411627546,49804.34449780919,309.3925390990758,45.11750744639256,1.2322233898899828
21500,47482.17030334473,2343.0087455026805,49825.17904884741,303.0098706530221,45.11750744639256,1.2322233898899828
22000,47199.11947631836,2255.5841686427593,49454.70364496112,291.7036773760796,45.11750744639256,1.2322233898899828
22500,47437.396240234375,2320.455289904028,49757.8515301384,300.0931424603324,45.11750744639256,1.2322233898899828
23000,47232.438552856445,2213.975346662104,49446.41389951855,286.32261177374954,45.11750744639256,1.2322233898899828
23500,47306.32620239258,2360.5494320988655,49666.87563449144,305.2783219282797,45.11750744639256,1.2322233898899828
24000,47248.036071777344,2202.93867495656,49450.974746733904,284.89529295884716,45.11750744639256,1.2322233898899828
24500,47186.421730041504,2206.40703542158,49392.828765463084,285.3438390677343,45.11750744639256,1.2322233898899828
25000,47420.471435546875,2276.6543480567634,49697.12578360364,294.4285807086549,45.11750744639256,1.2322233898899828
25500,47500.24151611328,2345.132797278464,49845.374313391745,303.2845638888352,45.11750744639256,1.2322233898899828
26000,47149.75407409668,2206.4746312182397,49356.22870531492,285.3525809017722,45.11750744639256,1.2322233898899828
26500,47438.0625,2356.488935753703,49794.5514357537,304.75319777981184,45.11750744639256,1.2322233898899828
27000,47210.8537902832,2517.2633949294686,49728.11718521267,325.54537287205915,45.11750744639256,1.2322233898899828
27500,47425.57133483887,2302.038399606943,49727.60973444581,297.71137604248935,45.11750744639256,1.2322233898899828
28000,47231.6142578125,2345.5472045615315,49577.16146237403,303.3381571575249,45.11750744639256,1.2322233898899828
28500,47434.40753173828,2358.718778539449,49793.12631027773,305.04157244993735,45.11750744639256,1.2322233898899828
29000,47475.56303405762,2372.752757921815,49848.31579197943,306.8565184186881,45.11750744639256,1.2322233898899828
29500,47394.73747253418,2346.0291136428714,49740.76658617705,303.40048010390035,45.11750744639256,1.2322233898899828
30000,47241.10957336426,2412.5078293513507,49653.61740271561,311.9978475216151,45.11750744639256,1.2322233898899828
30500,47428.66441345215,2336.126656457782,49764.79106990993,302.11984370996436,45.11750744639256,1.2322233898899828
31000,47607.09423828125,2251.8653263002634,49858.95956458151,291.22273767009614,45.11750744639256,1.2322233898899828
31500,47359.18622589111,2325.805257761851,49684.991483652964,300.78502765781974,45.11750744639256,1.2322233898899828
32000,47498.867279052734,2246.4150455221534,49745.28232457489,290.5178794928624,45.11750744639256,1.2322233898899828
32500,47400.289962768555,2393.02771050483,49793.317673273385,309.47857895152555,45.11750744639256,1.2322233898899828
33000,47269.95114135742,2471.3731810450554,49741.32432240248,319.6106157781959,45.11750744639256,1.2322233898899828
33500,47451.42562866211,2491.509335012175,49942.934963674285,322.21472616435545,45.11750744639256,1.2322233898899828
34000,47538.50842285156,2249.013012241572,49787.521435093135,290.8538618322894,45.11750744639256,1.2322233898899828
34500,47514.98278808594,2334.7544130999595,49849.7372011859,301.94237818272023,45.11750744639256,1.2322233898899828
35000,47527.686698913574,2355.6991280838847,49883.38582699746,304.6510558137045,45.11750744639256,1.2322233898899828
35500,47208.54309082031,2418.7555493824184,49627.29864020273,312.8058346203077,45.11750744639256,1.2322233898899828
36000,47412.46273803711,2346.5464468747377,49759.00918491185,303.46738428254383,45.11750744639256,1.2322233898899828
36500,47483.96508026123,2214.2840466164052,49698.249126877636,286.36253443020695,45.11750744639256,1.2322233898899828
37000,47354.152923583984,2187.242720924318,49541.3956445083,282.8654119307825,45.11750744639256,1.2322233898899828
37500,47220.80767059326,2357.8121245447546,49578.619795138016,304.9243193196677,45.11750744639256,1.2322233898899828
38000,47407.25442504883,2480.685247529298,49887.939672578126,320.8148998280608,45.11750744639256,1.2322233898899828
38500,47196.48390197754,2357.0772561579943,49553.56115813553,304.82928238254715,45.11750744639256,1.2322233898899828
39000,47375.75885772705,2272.432298893109,49648.19115662016,293.88256372368835,45.11750744639256,1.2322233898899828
39500,47207.0811920166,2314.053846269846,49521.13503828645,299.265275039304,45.11750744639256,1.2322233898899828
40000,47318.77978515625,2329.8961079232395,49648.67589307949,301.3140773169994,45.11750744639256,1.2322233898899828
40500,47305.30124664307,2356.974610786885,49662.27585742995,304.8160077583347,45.11750744639256,1.2322233898899828
41000,47367.13017272949,2270.84427716583,49637.97444989532,293.6771926344423,45.11750744639256,1.2322233898899828
41500,47476.848693847656,2293.9287298694253,49770.77742371708,296.66259208770447,45.11750744639256,1.2322233898899828
42000,47327.219787597656,2236.114249020815,49563.33403661847,289.18572782186044,45.11750744639256,1.2322233898899828
42500,47143.996353149414,2378.7718921899796,49522.76824533939,307.6349436377747,45.11750744639256,1.2322233898899828
43000,47555.079681396484,2195.152870129794,49750.23255152628,283.8883928702255,45.11750744639256,1.2322233898899828
43500,47165.117195129395,2326.8396527599543,49491.95684788935,300.9188009077835,45.11750744639256,1.2322233898899828
44000,47529.72579193115,2254.3135268781334,49784.039318809286,291.5393514863514,45.11750744639256,1.2322233898899828
44500,47418.164878845215,2283.993938460946,49702.15881730616,295.37777406667647,45.11750744639256,1.2322233898899828
45000,47329.20993041992,2302.8560115881264,49632.06594200805,297.81711380430454,45.11750744639256,1.2322233898899828
45500,47351.83151245117,2237.253235246986,49589.08474769816,289.33302734420755,45.11750744639256,1.2322233898899828
46000,47576.99555969238,2413.864886452444,49990.86044614483,312.17334908449243,45.11750744639256,1.2322233898899828
46500,47397.24821472168,2372.4655990563333,49769.71381377801,306.81938156597533,45.11750744639256,1.2322233898899828
47000,47432.53846740723,2285.532344436273,49718.0708118435,295.5767285931973,45.11750744639256,1.2322233898899828
47500,47012.68028259277,2360.7327585620806,49373.413041154854,305.30203064384153,45.11750744639256,1.2322233898899828
48000,47226.09085083008,2221.779781475663,49447.87063230574,287.3319211875175,45.11750744639256,1.2322233898899828
48500,47320.35482788086,2453.597231440246,49773.952059321105,317.3117390877752,45.11750744639256,1.2322233898899828
49000,47419.64979553223,2229.8415744826198,49649.491370014846,288.37451347871496,45.11750744639256,1.2322233898899828
49500,47439.43248748779,2324.6486329101026,49764.081120397896,300.6354470182275,45.11750744639256,1.2322233898899828
50000,47500.98972320557,2361.7434118594974,49862.733135065064,305.43273349568244,45.11750744639256,1.2322233898899828
50500,47400.28089141846,2228.4394181855023,49628.72030960396,288.19317945721787,45.11750744639256,1.2322233898899828
51000,47504.01219177246,2293.9443962518126,49797.95658802427,296.6646181443762,45.11750744639256,1.2322233898899828
51500,47544.614585876465,2257.9192323815078,49802.53381825797,292.0056597578368,45.11750744639256,1.2322233898899828
52000,47323.889167785645,2420.6790714152157,49744.56823920086,313.0545943244594,45.11750744639256,1.2322233898899828
52500,47333.54610443115,2326.0002244897187,49659.54632892087,300.8102417519225,45.11750744639256,1.2322233898899828
53000,47281.058448791504,2333.1198781151325,49614.178326906636,301.73099176118814,45.11750744639256,1.2322233898899828
53500,47235.153732299805,2253.5328216673806,49488.686553967185,291.4383866967908,45.11750744639256,1.2322233898899828
54000,47510.710998535156,2400.4717400297523,49911.18273856491,310.44127891063306,45.11750744639256,1.2322233898899828
54500,47205.5986328125,2267.5393580887467,49473.13799090125,293.2497836015106,45.11750744639256,1.2322233898899828
55000,47361.6770401001,2401.211528688669,49762.88856878877,310.53695216250605,45.11750744639256,1.2322233898899828
55500,47196.97215270996,2366.208173148334,49563.180325858295,306.01013925365226,45.11750744639256,1.2322233898899828
56000,47382.30278015137,2480.979791853577,49863.282572004944,320.85299180606665,45.11750744639256,1.2322233898899828
56500,47315.79405212402,2432.545959945768,49748.34001206979,314.58928102402825,45.11750744639256,1.2322233898899828
57000,47404.02827453613,2277.583025485277,49681.61130002141,294.5486820219908,45.11750744639256,1.2322233898899828
57500,47316.118103027344,2390.1544691585004,49706.272572185844,309.10699668988127,45.11750744639256,1.2322233898899828
58000,47105.7430267334,2146.399853767827,49252.142880501226,277.5834035226015,45.11750744639256,1.2322233898899828
58500,47289.30270385742,2407.7243731170893,49697.02707697451,311.37922650383183,45.11750744639256,1.2322233898899828
59000,47214.98643493652,2327.5903726350516,49542.576807571575,301.0158878404236,45.11750744639256,1.2322233898899828
59500,47377.948989868164,2375.4473722353578,49753.39636210352,307.2049997191415,45.11750744639256,1.2322233898899828
60000,47357.385887145996,2242.506809835322,49599.89269698132,290.012446471231,45.11750744639256,1.2322233898899828
60500,47406.26222229004,2453.8607036471367,49860.122925937176,317.34581266069034,45.11750744639256,1.2322233898899828
61000,47351.02481842041,2181.164139200002,49532.18895762041,282.07929866271456,45.11750744639256,1.2322233898899828
61500,47457.35988616943,2328.2528503984213,49785.612736567855,301.10156285199776,45.11750744639256,1.2322233898899828
62000,47344.777587890625,2359.069175489247,49703.84676337987,305.086887575047,45.11750744639256,1.2322233898899828
62500,47200.99494934082,2165.485294645652,49366.48024398647,280.0516303198109,45.11750744639256,1.2322233898899828
63000,47401.99334716797,2395.8060693577863,49797.799416525755,309.8378905239975,45.11750744639256,1.2322233898899828
63500,47535.75183105469,2391.2538381293416,49927.00566918403,309.2491727062081,45.11750744639256,1.2322233898899828
64000,47284.571868896484,2350.1325789801776,49634.70444787666,303.93116122213047,45.11750744639256,1.2322233898899828
64500,47380.44969177246,2381.9455500822514,49762.39524185471,308.0453773031548,45.11750744639256,1.2322233898899828
65000,47382.77291870117,2225.0362293832004,49607.80914808437,287.7530616809728,45.11750744639256,1.2322233898899828
65500,47306.76336669922,2404.8259311625734,49711.58929786179,311.00438517068744,45.11750744639256,1.2322233898899828
66000,47334.12951660156,2367.3591316491365,49701.4886482507,306.1589870917684,45.11750744639256,1.2322233898899828
66500,47248.546783447266,2344.689816570841,49593.23660001811,303.2272753587875,45.11750744639256,1.2322233898899828
67000,47333.271911621094,2303.364847302437,49636.63675892353,297.8829190405303,45.11750744639256,1.2322233898899828
67500,47507.22653198242,2176.912252523005,49684.13878450543,281.5294229379649,45.11750744639256,1.2322233898899828
