r_nm,H2O_B1-H2O_B1_target,H2O_B1-H2O_B1_current
0.05,0.0,1.0574838144311338
0.15,0.0,0.9349953417171224
0.25,0.0,0.9307512235835881
0.35,0.0,0.9219188696300764
0.45,0.0,0.9165718706162689
0.55,0.0,0.9221968666835147
0.6500000000000001,0.0,0.9235823737870783
0.75,0.0,0.9088729233498284
0.8500000000000001,0.0,0.9162928007220779
0.95,0.0,0.915213378042617
1.05,0.0,0.9197829641768591
1.15,0.0,0.92480339575074
1.25,0.0,0.9193186453958796
1.35,0.0,0.915233718834064
1.4500000000000002,0.0,0.9207859024101821
1.55,0.0,0.9200806854521847
1.65,0.0,0.9232824752167778
1.75,0.0,0.9235062162024903
1.85,0.0,0.9240842864310456
1.95,0.0,0.9294345153484971
2.05,0.0,0.9294375446403541
2.1500000000000004,0.0,0.9335948636855488
2.25,0.0,0.93803873810135
2.3500000000000005,1.7248426771584277e-05,0.9347310711739789
2.45,0.0105253256947319,0.9375871415770242
2.55,0.3236453866454448,0.9428975537958514
2.6500000000000004,1.5877957995594345,0.9425067472282272
2.75,2.636913874460949,0.9456741700015285
2.8500000000000005,2.4855747991939694,0.9489283845458161
2.95,1.892520759275599,0.9470882050085256
3.05,1.4293854479537784,0.9509208180825984
3.1500000000000004,1.170680712741878,0.9523729051872896
3.25,1.045094191845442,0.9578078051427436
3.3500000000000005,0.9844363586504632,0.9593996632037717
3.45,0.9566371856303848,0.9615813886860308
3.55,0.9425432746597976,0.9645872738516449
3.65,0.9392409496878816,0.9684079518089981
3.75,0.9425142815565848,0.9704429173268292
3.850000000000001,0.9484297159162742,0.9732345425112799
3.95,0.9558442281434764,0.9768431712381295
4.050000000000001,0.9644747409071144,0.9783832096834307
4.15,0.9789575533493338,0.9828392158884326
4.25,0.9839554907088868,0.9835665380848755
4.35,0.9892265554435083,0.9885595055248005
4.45,0.9925026426737048,0.9910329761032023
4.550000000000001,0.995800271515462,0.9949558912545635
4.65,0.9954893110578368,0.9952139629141235
4.75,0.994780762331982,0.9983348867464414
4.8500000000000005,0.9948206254354428,1.002543936124903
4.95,0.9938509447711216,1.0051883516111906
5.050000000000001,0.99451280662176,1.0064572235450087
5.15,0.995640486191778,1.0047881404858219
5.25,0.9992752334530012,1.0052391997451169
5.3500000000000005,0.9960280917479232,1.0048208082721302
5.45,0.993337717032278,1.0047622932906686
5.550000000000001,0.9845855278714112,1.0048828733432846
5.65,0.9758467724034886,1.0035299038739005
5.75,0.9705640937009072,1.0041879302731846
5.8500000000000005,0.9714641895423568,1.001495872960963
5.95,0.9735838268063036,1.0021961052767787
6.050000000000001,0.980528053246522,1.0029584480132971
6.15,0.9868375702531346,1.002581246841887
6.25,0.9950759786102958,1.0028375701500523
6.3500000000000005,1.0013218998928255,1.0019586432029735
6.45,1.0087070971842245,1.0021630601603915
6.550000000000001,1.0132921626683669,1.001205194078139
6.65,1.01890843802196,1.0007350690546957
6.75,1.021152151935251,1.0007490727276065
6.8500000000000005,1.0230375944910295,0.999876367014122
6.95,1.024272679347543,0.9999394072953013
7.050000000000001,1.0222577852695736,1.0017289417086015
7.15,1.0183794505061885,1.0008163571549824
7.25,1.0157021191879485,1.0002300918278229
7.35,1.0119186829055322,1.0005226816072705
7.45,1.007150556891084,1.0002680298109454
7.550000000000001,1.0046653444436937,0.9998106961539697
7.65,0.9992000891645726,0.9996087029216734
7.75,0.9969821013558328,0.9997614303953382
7.85,0.9930119293260457,1.0001223219744342
7.95,0.9916063263938112,1.0003880963855116
8.05,0.9902948079794104,1.0005154806894534
8.15,0.989935547313543,0.9997810912750108
8.25,0.9902453109298202,1.0004537498170405
8.350000000000001,0.989358991205169,1.000683935599895
8.45,0.9919191664331184,0.9998238569084217
8.55,0.9930880801157846,0.9997197936968975
8.65,0.995232057044936,1.0000299979680183
8.75,0.996620988207776,0.9999818962623129
8.850000000000001,0.9980184342122794,1.0003942919845383
8.95,1.000333809195324,1.0011256181559496
9.05,1.0014679580297434,0.9993983758737907
9.15,1.0024674527830206,1.001153478910918
9.25,1.0035244578917646,1.0005527288892977
9.35,1.0032819753552993,1.0007102026124968
9.45,1.0043558153334202,0.9995819011393285
9.55,1.003751070100998,0.9994223638061175
9.650000000000002,1.0043896025350532,1.0000839032920616
9.75,1.0038283220047322,1.0005227089229138
9.85,1.002983504295335,0.9998963754025998
9.95,1.0021089812428436,0.9994213530370435
