#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
10250,46546.08750915527,2325.0550727061927,48871.142581861466,300.68800989076396,45.11750744639256,1.2322233898899828
10500,46580.33206176758,2293.113343205303,48873.44540497288,296.5571421152696,45.11750744639256,1.2322233898899828
10750,46510.64175415039,2207.5065042600036,48718.148258410394,285.4860279994476,45.11750744639256,1.2322233898899828
11000,46639.46569824219,2325.0385221652687,48964.504220407456,300.68586949018953,45.11750744639256,1.2322233898899828
11250,46394.99938964844,2266.9111913070083,48661.910580955446,293.16854586151135,45.11750744639256,1.2322233898899828
11500,46528.83981323242,2170.010861672461,48698.85067490488,280.636899786712,45.11750744639256,1.2322233898899828
11750,46479.16369628906,2225.6382173784077,48704.80191366747,287.83091384644706,45.11750744639256,1.2322233898899828
12000,46643.3653717041,2388.210462017916,49031.57583372202,308.85558774685126,45.11750744639256,1.2322233898899828
12250,46386.924255371094,2343.2178122848272,48730.14206765592,303.0369082382372,45.11750744639256,1.2322233898899828
12500,46611.247970581055,2234.5476542450488,48845.7956248261,288.9831277755389,45.11750744639256,1.2322233898899828
12750,46579.93453979492,2292.3670253641903,48872.30156515911,296.46062447617174,45.11750744639256,1.2322233898899828
13000,46517.47250366211,2342.9089129045606,48860.38141656667,302.9969597909942,45.11750744639256,1.2322233898899828
13250,46490.5393371582,2313.7756081037223,48804.314945261925,299.2292918570433,45.11750744639256,1.2322233898899828
13500,46563.564361572266,2351.5867067202926,48915.15106829256,304.11921645636335,45.11750744639256,1.2322233898899828
13750,46574.14875793457,2531.040547758341,49105.18930569291,327.32710471777096,45.11750744639256,1.2322233898899828
14000,46388.906173706055,2379.038313396275,48767.94448710233,307.669398590371,45.11750744639256,1.2322233898899828
14250,46454.35543823242,2334.185081962496,48788.54052019492,301.8687493690623,45.11750744639256,1.2322233898899828
14500,46590.78210449219,2352.142297644168,48942.924402136356,304.1910683153471,45.11750744639256,1.2322233898899828
14750,46541.170318603516,2488.4553663879633,49029.62568499148,321.81977132708613,45.11750744639256,1.2322233898899828
15000,46559.3547668457,2367.274608798325,48926.62937564403,306.1480561645404,45.11750744639256,1.2322233898899828
15250,46664.89454650879,2281.340189123526,48946.234735632315,295.03457763387587,45.11750744639256,1.2322233898899828
15500,46531.08171081543,2382.311635605525,48913.393346420955,308.09272135480126,45.11750744639256,1.2322233898899828
15750,46472.26379394531,2320.732707688585,48792.9965016339,300.12901954665426,45.11750744639256,1.2322233898899828
16000,46590.96955871582,2291.395106397569,48882.36466511339,296.334930946036,45.11750744639256,1.2322233898899828
16250,46557.524169921875,2258.043291218579,48815.567461140454,292.0217036809533,45.11750744639256,1.2322233898899828
16500,46612.73776245117,2303.627408053726,48916.3651705049,297.9168747393467,45.11750744639256,1.2322233898899828
16750,46521.93321228027,2414.938703712076,48936.87191599235,312.3122206228811,45.11750744639256,1.2322233898899828
17000,46629.9030456543,2288.9700252972543,48918.87307095155,296.0213070588269,45.11750744639256,1.2322233898899828
17250,46649.94204711914,2409.7445275634527,49059.68657468259,311.6404832057825,45.11750744639256,1.2322233898899828
17500,46652.55447387695,2278.78837540932,48931.34284928627,294.7045640370609,45.11750744639256,1.2322233898899828
17750,46847.92561340332,2317.7955967336893,49165.72121013701,299.74917734066815,45.11750744639256,1.2322233898899828
18000,46477.93258666992,2161.899565398693,48639.832152068615,279.5879054799428,45.11750744639256,1.2322233898899828
18250,46541.36389160156,2499.160295456648,49040.52418705821,323.20418748800654,45.11750744639256,1.2322233898899828
18500,46695.37483215332,2342.4125825036317,49037.78741465695,302.932771805834,45.11750744639256,1.2322233898899828
18750,46605.62078857422,2209.0920030181296,48814.71279159235,285.69107280542295,45.11750744639256,1.2322233898899828
19000,46648.36166381836,2267.63453027606,48915.99619409442,293.2620917553845,45.11750744639256,1.2322233898899828
19250,46633.513427734375,2285.323516022414,48918.83694375679,295.54972183498796,45.11750744639256,1.2322233898899828
19500,46472.076721191406,2327.613933302462,48799.69065449387,301.01893482639764,45.11750744639256,1.2322233898899828
19750,46666.17720031738,2352.94965076074,49019.12685107812,304.2954793483376,45.11750744639256,1.2322233898899828
20000,46439.251708984375,2320.538896260783,48759.79060524516,300.103954861863,45.11750744639256,1.2322233898899828
20250,46566.53610229492,2336.7466023787856,48903.28270467371,302.20001828622054,45.11750744639256,1.2322233898899828
20500,46562.13539123535,2287.9640850536525,48850.099476289004,295.891213723203,45.11750744639256,1.2322233898899828
20750,46535.659439086914,2241.879954650998,48777.53939373791,289.9313783537155,45.11750744639256,1.2322233898899828
21000,46634.83041381836,2401.427128136158,49036.25754195452,310.5648345854043,45.11750744639256,1.2322233898899828
21250,46685.5107421875,2263.3608306238893,48948.87157281139,292.70939506515674,45.11750744639256,1.2322233898899828
21500,46715.8260345459,2243.9452897682786,48959.77132431418,290.1984780510357,45.11750744639256,1.2322233898899828
21750,46663.79621887207,2412.908284922596,49076.70450379467,312.0496364835975,45.11750744639256,1.2322233898899828
22000,46596.90490722656,2369.7236612029374,48966.6285684295,306.46478014338527,45.11750744639256,1.2322233898899828
22250,46517.69128417969,2263.2706895694137,48780.9619737491,292.6977375631053,45.11750744639256,1.2322233898899828
22500,46830.80709838867,2376.48635622859,49207.29345461726,307.33936644141863,45.11750744639256,1.2322233898899828
22750,46707.52575683594,2284.9219535514712,48992.44771038741,295.4977897230772,45.11750744639256,1.2322233898899828
23000,46650.12380981445,2378.9931669794023,49029.116976793855,307.66356002490966,45.11750744639256,1.2322233898899828
23250,46761.029357910156,2393.3918156139553,49154.42117352411,309.52566688588854,45.11750744639256,1.2322233898899828
23500,46824.7702331543,2399.0135524347425,49223.78378558904,310.25269863520737,45.11750744639256,1.2322233898899828
23750,46707.57049560547,2383.106142793782,49090.67663839925,308.1954710866614,45.11750744639256,1.2322233898899828
24000,46671.65850830078,2349.131826736033,49020.790335036814,303.80173882512236,45.11750744639256,1.2322233898899828
24250,46712.7844543457,2403.5072863837704,49116.29174072947,310.8338512857289,45.11750744639256,1.2322233898899828
24500,46677.661682128906,2324.305590286851,49001.96727241576,300.59108299222913,45.11750744639256,1.2322233898899828
24750,46707.796783447266,2363.05895344913,49070.855736896396,305.60286606035095,45.11750744639256,1.2322233898899828
25000,46735.49053955078,2172.3378038704395,48907.82834342122,280.93783184929174,45.11750744639256,1.2322233898899828
25250,46533.572174072266,2261.267918817699,48794.840092889965,292.4387290094285,45.11750744639256,1.2322233898899828
25500,46750.42268371582,2248.0821384117007,48998.50482212752,290.73347646909986,45.11750744639256,1.2322233898899828
25750,46755.92677307129,2279.560758680105,49035.487531751394,294.8044525907952,45.11750744639256,1.2322233898899828
26000,46597.87608337402,2239.4980050474405,48837.374088421464,289.62333245219617,45.11750744639256,1.2322233898899828
26250,46768.9873046875,2357.923737656325,49126.911042343825,304.9387536979282,45.11750744639256,1.2322233898899828
26500,46786.79487609863,2343.1318140402436,49129.92669013888,303.02578650554295,45.11750744639256,1.2322233898899828
26750,46800.48556518555,2348.2517771944404,49148.73734237999,303.68792631875505,45.11750744639256,1.2322233898899828
27000,46739.6213684082,2159.2156573981047,48898.83702580631,279.2408087746215,45.11750744639256,1.2322233898899828
27250,46528.189529418945,2329.867562867701,48858.05709228665,301.3103857244677,45.11750744639256,1.2322233898899828
27500,46727.00538635254,2271.4698632191867,48998.475249571726,293.758096621452,45.11750744639256,1.2322233898899828
27750,46472.958587646484,2223.2220402304083,48696.18062787689,287.51844146387685,45.11750744639256,1.2322233898899828
28000,46677.01084899902,2175.264860559255,48852.27570955828,281.31637378618143,45.11750744639256,1.2322233898899828
28250,46657.89636230469,2191.8811827802565,48849.777545084944,283.4652815342122,45.11750744639256,1.2322233898899828
28500,46681.853912353516,2346.5856218058616,49028.43953415938,303.4724505849362,45.11750744639256,1.2322233898899828
28750,46686.418533325195,2379.4735721945763,49065.89210551977,307.72568848362334,45.11750744639256,1.2322233898899828
29000,46697.018951416016,2379.8326571956277,49076.85160861164,307.7721271919427,45.11750744639256,1.2322233898899828
29250,46727.89840698242,2297.899896117393,49025.798303099815,297.17616361126284,45.11750744639256,1.2322233898899828
29500,46755.18380737305,2280.8119965991937,49035.99580397224,294.9662690760076,45.11750744639256,1.2322233898899828
29750,46692.73211669922,2242.708690367639,48935.44080706686,290.03855469387514,45.11750744639256,1.2322233898899828
30000,46734.87065124512,2435.4778622612357,49170.34851350635,314.968449622132,45.11750744639256,1.2322233898899828
30250,46697.40849304199,2307.5998592600226,49005.008352302015,298.4306124402861,45.11750744639256,1.2322233898899828
30500,46705.19515991211,2266.337658258155,48971.532818170264,293.0943736351884,45.11750744639256,1.2322233898899828
30750,46723.6282043457,2263.341962074861,48986.970166420564,292.70695488792245,45.11750744639256,1.2322233898899828
31000,46693.8410949707,2290.134914882481,48983.976009853184,296.17195653600965,45.11750744639256,1.2322233898899828
31250,46809.826110839844,2274.7392047848552,49084.5653156247,294.18090458870154,45.11750744639256,1.2322233898899828
31500,46734.21130371094,2216.3829075554386,48950.594211266376,286.633969858212,45.11750744639256,1.2322233898899828
31750,46820.79168701172,2435.6084351055324,49256.40012211725,314.9853359699688,45.11750744639256,1.2322233898899828
32000,46780.86779785156,2360.1617068201303,49141.02950467169,305.22817931281406,45.11750744639256,1.2322233898899828
32250,46665.793548583984,2269.47862684913,48935.272175433114,293.5005797529859,45.11750744639256,1.2322233898899828
32500,46700.60140991211,2279.712386228144,48980.31379614025,294.8240618405716,45.11750744639256,1.2322233898899828
32750,46820.244400024414,2426.6606266926974,49246.90502671711,313.8281596363314,45.11750744639256,1.2322233898899828
33000,46581.79637145996,2339.215835271403,48921.012206731364,302.5193521089561,45.11750744639256,1.2322233898899828
33250,46687.98908996582,2274.898606929928,48962.88769689575,294.2015192891174,45.11750744639256,1.2322233898899828
33500,46867.130798339844,2316.9821562208235,49184.11295456067,299.64397905446435,45.11750744639256,1.2322233898899828
33750,46715.2594909668,2164.244606729597,48879.504097696394,279.8911782149324,45.11750744639256,1.2322233898899828
34000,46757.88327026367,2462.977695286274,49220.860965549946,318.5248686341784,45.11750744639256,1.2322233898899828
