#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)"
10250,47339.83409118652,2207.3080969844013,49547.142188170925,285.4603689561203,45.11750744639256,1.2322233898899828
10500,47428.9372253418,2350.9933641701937,49779.93058951199,304.0424823640543,45.11750744639256,1.2322233898899828
10750,47140.841217041016,2219.8761342056096,49360.717351246625,287.08573178930243,45.11750744639256,1.2322233898899828
11000,47270.552017211914,2397.375380289741,49667.927397501655,310.04084183752485,45.11750744639256,1.2322233898899828
11250,47326.95845031738,2229.19748891145,49556.15593922883,288.2912170394745,45.11750744639256,1.2322233898899828
11500,47342.44445800781,2317.746063740924,49660.19052174874,299.74277148078403,45.11750744639256,1.2322233898899828
11750,47288.256103515625,2233.7421440146863,49521.99824753031,288.87895507401555,45.11750744639256,1.2322233898899828
12000,47400.94354248047,2388.317852437496,49789.261394917965,308.8694760249931,45.11750744639256,1.2322233898899828
12250,47398.42965698242,2183.711733620614,49582.141390603036,282.4087665989089,45.11750744639256,1.2322233898899828
12500,47240.28416442871,2314.807739406824,49555.091903835535,299.3627723543953,45.11750744639256,1.2322233898899828
12750,47412.635162353516,2342.339788518846,49754.97495087236,302.92335771552956,45.11750744639256,1.2322233898899828
13000,47199.53103637695,2333.4573297947645,49532.98836617172,301.77463273777147,45.11750744639256,1.2322233898899828
13250,47518.32258605957,2328.450498122722,49846.77308418229,301.12712366626704,45.11750744639256,1.2322233898899828
13500,47436.37341308594,2255.6210304647684,49691.994443550706,291.70844453537444,45.11750744639256,1.2322233898899828
13750,47358.16375732422,2391.2763953246176,49749.44015264884,309.252089918035,45.11750744639256,1.2322233898899828
14000,47362.740814208984,2398.691451843828,49761.43226605281,310.21104293990635,45.11750744639256,1.2322233898899828
14250,47424.52165222168,2381.441632337868,49805.96328455955,307.98020808394534,45.11750744639256,1.2322233898899828
14500,47292.41357421875,2471.8434302285314,49764.25700444728,319.6714308069632,45.11750744639256,1.2322233898899828
14750,47216.724868774414,2359.194921605289,49575.9197903797,305.10314970570704,45.11750744639256,1.2322233898899828
15000,47383.23733520508,2185.931850295514,49569.16918550059,282.6958834386507,45.11750744639256,1.2322233898899828
15250,47411.5703125,2108.544616509229,49520.11492900923,272.6877706884157,45.11750744639256,1.2322233898899828
15500,47185.40798950195,2405.234665395692,49590.642654897645,311.05724477155167,45.11750744639256,1.2322233898899828
15750,47115.46545410156,2373.4786040578038,49488.944058159366,306.95038855220855,45.11750744639256,1.2322233898899828
16000,47373.85047912598,2451.0286124944687,49824.879091620445,316.9795521524892,45.11750744639256,1.2322233898899828
16250,47321.16752624512,2373.7635951191187,49694.931121364236,306.98724505340266,45.11750744639256,1.2322233898899828
16500,47311.097595214844,2338.264284104109,49649.36187931895,302.39629264676887,45.11750744639256,1.2322233898899828
