bead_type_i,bead_type_j,gamma,b
C12_B1,C12_B1,1.0000180984258908,
C12_B1,C12_B2,1.0000218112048325,
C12_B1,C12_B3,1.000036559925986,0.8925321532213182
C12_B1,C12_B4,1.0000187716542206,
C12_B1,C4H_B1,1.0000209599894587,
C12_B1,C4H_B2,1.0000207286950586,
C12_B1,H2O_B1,1.0011559086326907,
C12_B2,C12_B2,1.0000275974503514,
C12_B2,C12_B3,1.0000247530054152,
C12_B2,C12_B4,1.0000482662347316,0.8925451379474795
C12_B2,C4H_B1,1.0000196201816378,
C12_B2,C4H_B2,1.0000198072679094,
C12_B2,H2O_B1,1.0010387068070032,
C12_B3,C12_B3,1.0000146552198175,
C12_B3,C12_B4,1.0000319917261047,0.8920527592504525
C12_B3,C4H_B1,1.000020589473627,
C12_B3,C4H_B2,1.0000204055198842,
C12_B3,H2O_B1,1.0011753262111684,
C12_B4,C12_B4,1.0000196472069502,
C12_B4,C4H_B1,1.0000199284078173,
C12_B4,C4H_B2,1.0000197894884666,
C12_B4,H2O_B1,1.0011290697900914,
C4H_B1,C4H_B1,1.0000005448278615,
C4H_B1,C4H_B2,1.0000010074450818,0.9884323494701964
C4H_B1,H2O_B1,0.9999048341473084,
C4H_B2,C4H_B2,1.0000004681380519,
C4H_B2,H2O_B1,0.9999048991572536,
H2O_B1,H2O_B1,0.9950174601433724,
