bead_type_i,bead_type_j,gamma,b
C12_B1,C12_B1,1.0001111939442087,
C12_B1,C12_B2,1.0002006963873111,
C12_B1,C12_B3,1.0002254218194484,0.12538034317576585
C12_B1,C12_B4,1.000154974906458,
C12_B1,C4H_B1,1.0001627516179832,
C12_B1,C4H_B2,1.000161279495943,
C12_B1,H2O_B1,1.008912785048741,
C12_B2,C12_B2,1.000188755719186,
C12_B2,C12_B3,1.0002021893721758,
C12_B2,C12_B4,1.0003220589061403,0.12679085459831518
C12_B2,C4H_B1,1.0001531519986526,
C12_B2,C4H_B2,1.0001538874838445,
C12_B2,H2O_B1,1.0080043963665724,
C12_B3,C12_B3,1.0000871948204324,
C12_B3,C12_B4,1.0001892759012807,0.12245380204702483
C12_B3,C4H_B1,1.0001605452967726,
C12_B3,C4H_B2,1.000160077742661,
C12_B3,H2O_B1,1.0090647971162767,
C12_B4,C12_B4,1.0001230623235307,
C12_B4,C4H_B1,1.0001561974549298,
C12_B4,C4H_B2,1.0001541473455837,
C12_B4,H2O_B1,1.0087034952107106,
C4H_B1,C4H_B1,1.0000041872713596,
C4H_B1,C4H_B2,1.000008117547458,0.9093230634951364
C4H_B1,H2O_B1,0.9992706354375576,
C4H_B2,C4H_B2,1.000003500330301,
C4H_B2,H2O_B1,0.9992710562043049,
H2O_B1,H2O_B1,0.9617657805220687,
