bead_type_i,bead_type_j,gamma,b
C12_B1,C12_B1,1.0,
C12_B1,C12_B2,1.0,
C12_B1,C12_B3,1.0,1.0
C12_B1,C12_B4,1.0,
C12_B1,C4H_B1,1.0,
C12_B1,C4H_B2,1.0,
C12_B1,H2O_B1,1.0,
C12_B2,C12_B2,1.0,
C12_B2,C12_B3,1.0,
C12_B2,C12_B4,1.0,1.0
C12_B2,C4H_B1,1.0,
C12_B2,C4H_B2,1.0,
C12_B2,H2O_B1,1.0,
C12_B3,C12_B3,1.0,
C12_B3,C12_B4,1.0,1.0
C12_B3,C4H_B1,1.0,
C12_B3,C4H_B2,1.0,
C12_B3,H2O_B1,1.0,
C12_B4,C12_B4,1.0,
C12_B4,C4H_B1,1.0,
C12_B4,C4H_B2,1.0,
C12_B4,H2O_B1,1.0,
C4H_B1,C4H_B1,1.0,
C4H_B1,C4H_B2,1.0,1.0
C4H_B1,H2O_B1,1.0,
C4H_B2,C4H_B2,1.0,
C4H_B2,H2O_B1,1.0,
H2O_B1,H2O_B1,1.0,
