bead_type_i,bead_type_j,gamma,b
C12_B1,C12_B1,1.0000257866888198,
C12_B1,C12_B2,1.0000326792662833,
C12_B1,C12_B3,1.000052372174098,0.8400541218029423
C12_B1,C12_B4,1.0000284566811033,
C12_B1,C4H_B1,1.000030630066594,
C12_B1,C4H_B2,1.0000302317938683,
C12_B1,H2O_B1,1.001689430325526,
C12_B2,C12_B2,1.0000399118528902,
C12_B2,C12_B3,1.0000370841121677,
C12_B2,C12_B4,1.0000693555010292,0.840087224575779
C12_B2,C4H_B1,1.0000287195156823,
C12_B2,C4H_B2,1.0000290236020444,
C12_B2,H2O_B1,1.0015178736739518,
C12_B3,C12_B3,1.0000208171005258,
C12_B3,C12_B4,1.0000451232865875,0.8394950112019002
C12_B3,C4H_B1,1.0000301283108257,
C12_B3,C4H_B2,1.0000298067422857,
C12_B3,H2O_B1,1.0017178634977955,
C12_B4,C12_B4,1.000028003791918,
C12_B4,C4H_B1,1.000029165984074,
C12_B4,C4H_B2,1.000028928186771,
C12_B4,H2O_B1,1.0016500570163336,
C4H_B1,C4H_B1,1.0000007988657251,
C4H_B1,C4H_B2,1.0000014960752495,0.9830310608297199
C4H_B1,H2O_B1,0.9998610554572979,
C4H_B2,C4H_B2,1.000000695005096,
C4H_B2,H2O_B1,0.9998610927958045,
H2O_B1,H2O_B1,0.9927204187855626,
