bead_type_i,bead_type_j,gamma,b
C12_B1,C12_B1,0.9999323166874726,
C12_B1,C12_B2,0.9997625655937457,
C12_B1,C12_B3,0.9998626175069754,29.75574938469355
C12_B1,C12_B4,0.9995508470347234,
C12_B1,C4H_B1,1.000451531163107,
C12_B1,C4H_B2,1.0004481644368746,
C12_B1,H2O_B1,1.0233010822282425,
C12_B2,C12_B2,1.0001173200059028,
C12_B2,C12_B3,0.999677817450753,
C12_B2,C12_B4,1.0000965636965407,28.583957925476717
C12_B2,C4H_B1,1.0004255769919033,
C12_B2,C4H_B2,1.0004281232097705,
C12_B2,H2O_B1,1.0210502754885942,
C12_B3,C12_B3,0.9998546194415333,
C12_B3,C12_B4,0.9997594961665296,31.792733875183025
C12_B3,C4H_B1,1.000445772255095,
C12_B3,C4H_B2,1.0004446026794858,
C12_B3,H2O_B1,1.0236936475258638,
C12_B4,C12_B4,0.99995283284503,
C12_B4,C4H_B1,1.00043372487068,
C12_B4,C4H_B2,1.0004301563808022,
C12_B4,H2O_B1,1.0227876699129603,
C4H_B1,C4H_B1,1.000015213619086,
C4H_B1,C4H_B2,1.0000282915747172,0.7627803263513842
C4H_B1,H2O_B1,0.998382582872202,
C4H_B2,C4H_B2,1.0000128345226618,
C4H_B2,H2O_B1,0.9983826082454093,
H2O_B1,H2O_B1,0.9068027180233912,
