bead_type_i,bead_type_j,gamma,b
C12_B1,C12_B1,0.9997411273111436,
C12_B1,C12_B2,0.9996331705369758,
C12_B1,C12_B3,0.9994334747510013,29.755859063386847
C12_B1,C12_B4,0.9994782874611968,
C12_B1,C4H_B1,1.0002918195492374,
C12_B1,C4H_B2,1.0002893709310938,
C12_B1,H2O_B1,1.0145104113924859,
C12_B2,C12_B2,0.9998570504274125,
C12_B2,C12_B3,0.9995484258803765,
C12_B2,C12_B4,0.999577432896117,28.584081938394565
C12_B2,C4H_B1,1.0002751915275254,
C12_B2,C4H_B2,1.0002781328344916,
C12_B2,H2O_B1,1.0131532046023566,
C12_B3,C12_B3,0.9996478571201938,
C12_B3,C12_B4,0.9993214162470235,31.792823994823227
C12_B3,C4H_B1,1.0002872484420922,
C12_B3,C4H_B2,1.0002868566858534,
C12_B3,H2O_B1,1.0147160845829555,
C12_B4,C12_B4,0.999701922076391,
C12_B4,C4H_B1,1.0002796271719916,
C12_B4,C4H_B2,1.0002782950412334,
C12_B4,H2O_B1,1.0141764329406753,
C4H_B1,C4H_B1,1.0000111440691337,
C4H_B1,C4H_B2,1.0000212963915898,0.866830189025466
C4H_B1,H2O_B1,0.9991422836241078,
C4H_B2,C4H_B2,1.000009754777652,
C4H_B2,H2O_B1,0.9991415098379243,
H2O_B1,H2O_B1,0.9450781959831058,
