r_nm,H2O_B1-H2O_B1_target,H2O_B1-H2O_B1_current,H2O_B1-C12_B1_target,H2O_B1-C12_B1_current,H2O_B1-C12_B2_target,H2O_B1-C12_B2_current,H2O_B1-C12_B3_target,H2O_B1-C12_B3_current,H2O_B1-C12_B4_target,H2O_B1-C12_B4_current,H2O_B1-C4H_B1_target,H2O_B1-C4H_B1_current,H2O_B1-C4H_B2_target,H2O_B1-C4H_B2_current,C12_B1-C12_B1_target,C12_B1-C12_B1_current,C12_B1-C12_B2_target,C12_B1-C12_B2_current,C12_B1-C12_B3_target,C12_B1-C12_B3_current,C12_B1-C12_B4_target,C12_B1-C12_B4_current,C12_B1-C4H_B1_target,C12_B1-C4H_B1_current,C12_B1-C4H_B2_target,C12_B1-C4H_B2_current,C12_B2-C12_B2_target,C12_B2-C12_B2_current,C12_B2-C12_B3_target,C12_B2-C12_B3_current,C12_B2-C12_B4_target,C12_B2-C12_B4_current,C12_B2-C4H_B1_target,C12_B2-C4H_B1_current,C12_B2-C4H_B2_target,C12_B2-C4H_B2_current,C12_B3-C12_B3_target,C12_B3-C12_B3_current,C12_B3-C12_B4_target,C12_B3-C12_B4_current,C12_B3-C4H_B1_target,C12_B3-C4H_B1_current,C12_B3-C4H_B2_target,C12_B3-C4H_B2_current,C12_B4-C12_B4_target,C12_B4-C12_B4_current,C12_B4-C4H_B1_target,C12_B4-C4H_B1_current,C12_B4-C4H_B2_target,C12_B4-C4H_B2_current,C4H_B1-C4H_B1_target,C4H_B1-C4H_B1_current,C4H_B1-C4H_B2_target,C4H_B1-C4H_B2_current,C4H_B2-C4H_B2_target,C4H_B2-C4H_B2_current
0.05,0.0,1.6237703091592408,0.0,1.0771009717422972,0.0,0.0,0.0,2.1542019434845945,0.0,1.0771009717422972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0771009717422972,0.0,0.0,0.0,1.0771009717422972,0.0,0.0,0.0,10.771009717422912,0.0,0.0,0.0,3.231302915226892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1542019434845945,0.0,0.0,0.0,0.0,0.0,2.1759615590753447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.0,0.6959015610682311,0.0,0.8462936206546661,0.0,1.154036755438181,0.0,1.3848441065258172,0.0,0.8462936206546661,0.0,3.077431347835064,0.0,0.0,0.0,0.9325549538894379,0.0,0.15387156739175747,0.0,1.0771009717423023,0.0,0.7693578369587873,0.0,0.0,0.0,0.0,0.0,1.8651099077788758,0.0,1.0771009717423023,0.0,0.7693578369587873,0.0,0.0,0.0,0.0,0.0,0.3108516512964793,0.0,0.7693578369587873,0.0,0.0,0.0,0.0,0.0,1.2434066051859172,0.0,0.0,0.0,1.538715673917532,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.7976415553764551,0.0,1.07710097174226,0.0,1.1054457341565298,0.0,1.1054457341565298,0.0,0.8219981100138299,0.0,1.13379049657085,0.0,0.2834476241427125,0.0,1.2597672184120328,0.0,0.9070323972566399,0.0,0.9070323972566399,0.0,1.2471695462278798,0.0,0.566895248285425,0.0,0.566895248285425,0.0,0.5726214629145603,0.0,0.7936533475995599,0.0,1.1904800213993398,0.0,2.2675809931417,0.0,0.566895248285425,0.0,0.8016700480803844,0.0,0.9637219220851798,0.0,0.566895248285425,0.0,1.7006857448562749,0.0,1.0307186332462086,0.0,1.7006857448562749,0.0,0.0,0.0,0.0,0.0,11.337904965708244,0.0,0.0
0.35,0.0,0.9801136100330364,0.0,0.9024359492976153,0.0,1.1062118088164317,0.0,1.0334347161311401,0.0,1.0916563902793734,0.0,1.0188792975940721,0.0,0.8733251122234904,0.0,1.117385665471126,0.0,0.8733251122234986,0.0,1.4264310166317145,0.0,1.164433482964665,0.0,0.5822167414823269,0.0,1.1644334829646539,0.0,0.9997661217373233,0.0,0.8733251122234986,0.0,1.077100971742315,0.0,1.1644334829646539,0.0,1.4555418537058173,0.0,0.8821465780035205,0.0,1.309987668335248,0.0,0.29110837074116347,0.0,0.8733251122234904,0.0,0.8233368061366192,0.0,0.5822167414823269,0.0,1.4555418537058173,0.0,0.0,0.0,2.9110837074115654,0.0,0.0
0.45,0.0,1.0292751686473685,0.0,0.9270131314175349,0.0,1.1742166331288777,0.0,1.1212444541907327,0.0,1.1389018471701144,0.0,1.1477305436598104,0.0,0.9711566138659935,0.0,1.0701450290534493,0.0,1.0771009717422788,0.0,1.2713322945154766,0.0,0.8828696489690809,0.0,0.706295719175268,0.0,0.706295719175268,0.0,0.9274590251796562,0.0,0.9181844349278442,0.0,1.059443578762897,0.0,0.882869648969085,0.0,0.882869648969085,0.0,0.7491015203374146,0.0,1.20070272259795,0.0,0.176573929793817,0.0,0.706295719175268,0.0,0.7491015203374146,0.0,0.882869648969085,0.0,0.882869648969085,0.0,3.923865106529291,0.0,3.5314785958762758,0.0,3.923865106529291
0.55,0.0,1.0111390203555641,0.0,0.9409838159726518,0.0,1.088937246157031,0.0,0.9350656787652767,0.0,0.9587382275947773,0.0,0.591813720737531,0.0,1.124446069401309,0.0,1.052113281311142,0.0,0.8877205811062753,0.0,1.479534301843792,0.0,1.1007735205717815,0.0,1.3019901856225682,0.0,1.4203529297700743,0.0,1.1238482777641745,0.0,0.9587382275947773,0.0,1.3256627344520377,0.0,1.3019901856225682,0.0,0.7101764648850372,0.0,0.7173499645303241,0.0,1.0297558740832793,0.0,0.591813720737531,0.0,1.183627441475062,0.0,1.076024946795486,0.0,1.065264697327556,0.0,0.7101764648850372,0.0,2.630283203277835,0.0,1.1836274414750576,0.0,0.0
0.6500000000000001,0.0,1.0143237101834315,0.0,1.0643793067217115,0.0,1.0431765316874146,0.0,1.0346954216736959,0.0,1.1025443017834464,0.0,0.7208943511660995,0.0,1.0601387517148522,0.0,0.8395442235802513,0.0,1.0516576417011334,0.0,1.3569776021950108,0.0,1.0092520916325394,0.0,1.0177332016462581,0.0,1.1873554019206345,0.0,1.1308146684958487,0.0,1.0177332016462581,0.0,1.0940631917697274,0.0,1.5265998024693872,0.0,0.8481110013718818,0.0,0.8395442235802513,0.0,1.2043176219480722,0.0,0.7632999012346936,0.0,0.8481110013718818,0.0,0.9594791126631443,0.0,0.6784888010975054,0.0,0.8481110013718818,0.0,0.0,0.0,5.088666008231195,0.0,0.0
0.75,0.0,1.0665000255424617,0.0,0.9655668474494427,0.0,0.9623801581839329,0.0,1.0707275932112632,0.0,1.0994077966008504,0.0,1.0197405649631293,0.0,1.1472081355835204,0.0,1.133045072181256,0.0,1.0771009717422826,0.0,1.1535815141145156,0.0,1.1089678643973797,0.0,1.1472081355835204,0.0,0.7648054237223469,0.0,1.133045072181256,0.0,0.9687535367149523,0.0,1.3320361129830594,0.0,0.7648054237223469,0.0,0.7648054237223469,0.0,0.8626593163198198,0.0,1.3766497627001955,0.0,0.9560067796529336,0.0,1.3384094915141072,0.0,0.7854062432165524,0.0,1.0834743502733248,0.0,0.7648054237223469,0.0,1.416306340226525,0.0,0.6373378531019511,0.0,0.0
0.8500000000000001,0.0,0.9927197896242108,0.0,1.0870281696385502,0.0,1.062210174897944,0.0,1.0994371670088534,0.0,1.0448375785795196,0.0,1.0175377843648419,0.0,1.0423557791054479,0.0,0.9526098991343513,0.0,1.0919917685866716,0.0,1.3898077054739455,0.0,1.1019189664829139,0.0,0.9430838001430243,0.0,0.9927197896242361,0.0,1.0729395706039537,0.0,1.1068825654310352,0.0,1.275644929667157,0.0,1.3898077054739304,0.0,0.7941758316993889,0.0,1.0729395706039537,0.0,1.3550625128370968,0.0,1.3401717159927187,0.0,1.1416277580678715,0.0,0.9726648443792851,0.0,1.1912637475490833,0.0,0.744539842218177,0.0,2.206043976942741,0.0,1.9854395792484887,0.0,2.206043976942741
0.95,0.0,1.108477886326432,0.0,1.0850500564046126,0.0,0.9876737692913781,0.0,0.9856864981258019,0.0,1.005559209781564,0.0,1.212235411001448,0.0,1.1128718527226407,0.0,1.1000248472078458,0.0,1.0532537177553931,0.0,1.275828088299929,0.0,1.152617276034204,0.0,0.8743993128535034,0.0,1.1923626993456864,0.0,1.0197310627401197,0.0,1.0095337521127166,0.0,1.2996753422868437,0.0,0.9538901594765491,0.0,1.033381006099595,0.0,1.0438191980804377,0.0,1.1128718527226795,0.0,1.3910898159033007,0.0,1.1923626993456864,0.0,0.955496035165939,0.0,0.5961813496728432,0.0,0.7154176196074119,0.0,0.8832316291449641,0.0,4.371996564267542,0.0,0.0
