Iteration,RDF Error
0,0.5425519682033091
1,0.5445911060880785
2,0.5415800144080333
3,0.5444899407417593
4,0.5439426079791162
5,0.5512113910492935
6,0.5483570226177642
7,0.543995046032455
8,0.5516638023854089
9,0.5517360194141514
10,0.5541697125230203
11,0.5490796988343718
12,0.5495370609682586
13,0.5464561566319729
14,0.5728066943039615
15,0.562126617985228
16,0.5449995324495626
17,0.5477469903733897
18,0.5505409826400594
19,0.5468007872617667
