bead_type_i,bead_type_j,gamma,b
C12_B1,C12_B1,1.0002176074181583,
C12_B1,C12_B2,0.9999947547879829,
C12_B1,C12_B3,1.000515401635701,29.755584688605484
C12_B1,C12_B4,0.9996752501935392,
C12_B1,C4H_B1,1.000687451628814,
C12_B1,C4H_B2,1.0006795016628165,
C12_B1,H2O_B1,1.036425437355562,
C12_B2,C12_B2,1.0005165071603346,
C12_B2,C12_B3,0.9998788720410556,
C12_B2,C12_B4,1.0008796630075167,28.583771620228642
C12_B2,C4H_B1,1.0006477138011876,
C12_B2,C4H_B2,1.000653748745202,
C12_B2,H2O_B1,1.0328235805835497,
C12_B3,C12_B3,1.000174216309555,
C12_B3,C12_B4,1.000430787303071,31.79259924039754
C12_B3,C4H_B1,1.000686979293668,
C12_B3,C4H_B2,1.0006845368453086,
C12_B3,H2O_B1,1.0370951621417173,
C12_B4,C12_B4,1.0003287781921102,
C12_B4,C4H_B1,1.0006685622908889,
C12_B4,C4H_B2,1.0006606508774056,
C12_B4,H2O_B1,1.035659679057528,
C4H_B1,C4H_B1,1.0000201743182104,
C4H_B1,C4H_B2,1.0000368166798919,0.5803998925975549
C4H_B1,H2O_B1,0.9972379757688938,
C4H_B2,C4H_B2,1.0000169445916158,
C4H_B2,H2O_B1,0.9972416242550582,
H2O_B1,H2O_B1,0.849688181136763,
