bead_type_i,bead_type_j,gamma,b
C12_B1,C12_B1,1.0000193719858559,
C12_B1,C12_B2,1.000023575190607,
C12_B1,C12_B3,1.0000392112442769,0.8838810287031668
C12_B1,C12_B4,1.0000203250443944,
C12_B1,C4H_B1,1.0000225421871693,
C12_B1,C4H_B2,1.0000222944134263,
C12_B1,H2O_B1,1.0012448690623332,
C12_B2,C12_B2,1.0000297361972015,
C12_B2,C12_B3,1.0000268063166657,
C12_B2,C12_B4,1.000051869396002,0.8839341075708596
C12_B2,C4H_B1,1.000021150510448,
C12_B2,C4H_B2,1.0000213583083681,
C12_B2,H2O_B1,1.0011185164140777,
C12_B3,C12_B3,1.0000157216131067,
C12_B3,C12_B4,1.000034219365229,0.8834407333831628
C12_B3,C4H_B1,1.000022175632016,
C12_B3,C4H_B2,1.0000219631097018,
C12_B3,H2O_B1,1.0012657799277223,
C12_B4,C12_B4,1.0000210620866383,
C12_B4,C4H_B1,1.0000214698811625,
C12_B4,C4H_B2,1.0000213268045601,
C12_B4,H2O_B1,1.001215862327389,
C4H_B1,C4H_B1,1.0000005849818097,
C4H_B1,C4H_B2,1.0000010859496598,0.9875410752486211
C4H_B1,H2O_B1,0.9998975613406986,
C4H_B2,C4H_B2,1.000000508621614,
C4H_B2,H2O_B1,0.9998975910681471,
H2O_B1,H2O_B1,0.99463445953547,
