bead_type_i,bead_type_j,gamma,b
C12_B1,C12_B1,1.0000154733229003,
C12_B1,C12_B2,1.0000182162750826,
C12_B1,C12_B3,1.0000312142719299,0.9095449594984194
C12_B1,C12_B4,1.0000157249512953,
C12_B1,C4H_B1,1.0000177558077648,
C12_B1,C4H_B2,1.0000175325402352,
C12_B1,H2O_B1,1.0009780582300691,
C12_B2,C12_B2,1.0000235044642147,
C12_B2,C12_B3,1.0000207257266074,
C12_B2,C12_B4,1.0000410958726111,0.9096077331564363
C12_B2,C4H_B1,1.0000165577599132,
C12_B2,C4H_B2,1.0000167510430382,
C12_B2,H2O_B1,1.0008789608092994,
C12_B3,C12_B3,1.0000125640183641,
C12_B3,C12_B4,1.0000273631734304,0.9091805506435601
C12_B3,C4H_B1,1.0000173926135976,
C12_B3,C4H_B2,1.0000172786797803,
C12_B3,H2O_B1,1.0009943474155905,
C12_B4,C12_B4,1.000016847717569,
C12_B4,C4H_B1,1.000016820441957,
C12_B4,C4H_B2,1.000016747427029,
C12_B4,H2O_B1,1.000955257682015,
C4H_B1,C4H_B1,1.0000004594745082,
C4H_B1,C4H_B2,1.0000008594646144,0.9902286704977414
C4H_B1,H2O_B1,0.9999195156017483,
C4H_B2,C4H_B2,1.0000004043252548,
C4H_B2,H2O_B1,0.9999195039570132,
H2O_B1,H2O_B1,0.9957835449672203,
