bead_type_i,bead_type_j,gamma,b
C12_B1,C12_B1,1.0000219785176452,
C12_B1,C12_B2,1.0000271110369658,
C12_B1,C12_B3,1.0000445561218663,0.8664959186466009
C12_B1,C12_B4,1.0000234886258337,
C12_B1,C4H_B1,1.0000257558635348,
C12_B1,C4H_B2,1.0000254695571424,
C12_B1,H2O_B1,1.001422735680433,
C12_B2,C12_B2,1.0000338891210319,
C12_B2,C12_B3,1.0000308407180856,
C12_B2,C12_B4,1.0000589867908596,0.8665730702853177
C12_B2,C4H_B1,1.000024180319278,
C12_B2,C4H_B2,1.0000244052338634,
C12_B2,H2O_B1,1.0012781593546085,
C12_B3,C12_B3,1.0000177869717561,
C12_B3,C12_B4,1.000038673543684,0.8659838632097664
C12_B3,C4H_B1,1.000025362549165,
C12_B3,C4H_B2,1.0000251214467304,
C12_B3,H2O_B1,1.0014467383378167,
C12_B4,C12_B4,1.000023902876354,
C12_B4,C4H_B1,1.0000245444855267,
C12_B4,C4H_B2,1.0000243686819656,
C12_B4,H2O_B1,1.0013895551138212,
C4H_B1,C4H_B1,1.0000006716892262,
C4H_B1,C4H_B2,1.0000012450487206,0.9857476829259876
C4H_B1,H2O_B1,0.9998829699045834,
C4H_B2,C4H_B2,1.0000005754394516,
C4H_B2,H2O_B1,0.9998829886130525,
H2O_B1,H2O_B1,0.9938685612222022,
