bead_type_i,bead_type_j,gamma,b
C12_B1,C12_B1,1.0000232819179782,
C12_B1,C12_B2,1.0000289405973344,
C12_B1,C12_B3,1.0000472145798593,0.8577107322886405
C12_B1,C12_B4,1.0000251600649377,
C12_B1,C4H_B1,1.0000273689912658,
C12_B1,C4H_B2,1.000027050257516,
C12_B1,H2O_B1,1.0015114768770457,
C12_B2,C12_B2,1.0000358908073992,
C12_B2,C12_B3,1.0000329153017842,
C12_B2,C12_B4,1.0000624758087806,0.8577697198747687
C12_B2,C4H_B1,1.0000256901576334,
C12_B2,C4H_B2,1.0000259462481917,
C12_B2,H2O_B1,1.001358246016364,
C12_B3,C12_B3,1.0000188203832918,
C12_B3,C12_B4,1.0000409089094642,0.8572042709995471
C12_B3,C4H_B1,1.000026922069461,
C12_B3,C4H_B2,1.0000266510416536,
C12_B3,H2O_B1,1.0015370827770123,
C12_B4,C12_B4,1.0000253100518788,
C12_B4,C4H_B1,1.0000260735435618,
C12_B4,C4H_B2,1.0000258885852555,
C12_B4,H2O_B1,1.0014763503256454,
C4H_B1,C4H_B1,1.0000007099266564,
C4H_B1,C4H_B2,1.0000013199055509,0.9848495643818036
C4H_B1,H2O_B1,0.9998757066098191,
C4H_B2,C4H_B2,1.000000609855484,
C4H_B2,H2O_B1,0.999875724968156,
H2O_B1,H2O_B1,0.993485787568189,
