bead_type,a
C12_B1,1.0060587159093546
C12_B2,1.0056304653933077
C12_B3,1.0058896121232577
C12_B4,1.0057148683466144
C4H_B1,1.000060266072539
C4H_B2,1.0000558911463722
H2O_B1,0.981749242660399
