bead_type_i,bead_type_j,gamma,b
C12_B1,C12_B1,1.000029394481952,
C12_B1,C12_B2,0.9998408714823228,
C12_B1,C12_B3,1.0000720896110333,29.7556945470308
C12_B1,C12_B4,0.9995905553929763,
C12_B1,C4H_B1,1.0005300563649453,
C12_B1,C4H_B2,1.0005244018335708,
C12_B1,H2O_B1,1.0276849550904523,
C12_B2,C12_B2,1.000247239342542,
C12_B2,C12_B3,0.9997384923462014,
C12_B2,C12_B4,1.0003529059212155,28.583895799579622
C12_B2,C4H_B1,1.0005001261507007,
C12_B2,C4H_B2,1.0005030517507103,
C12_B2,H2O_B1,1.0249957152165088,
C12_B3,C12_B3,0.9999612322522153,
C12_B3,C12_B4,0.9999858719578867,31.792688904747884
C12_B3,C4H_B1,1.0005260346217462,
C12_B3,C4H_B2,1.0005248039501609,
C12_B3,H2O_B1,1.0281692519496155,
C12_B4,C12_B4,1.0000780452367473,
C12_B4,C4H_B1,1.0005119162531608,
C12_B4,C4H_B2,1.0005075364000529,
C12_B4,H2O_B1,1.0270848961441033,
C4H_B1,C4H_B1,1.0000171944309366,
C4H_B1,C4H_B2,1.000031613766138,0.7060592491271861
C4H_B1,H2O_B1,0.9980026468706474,
C4H_B2,C4H_B2,1.0000144460779632,
C4H_B2,H2O_B1,0.9980044536877001,
H2O_B1,H2O_B1,0.8877148161493339,
