bead_type_i,bead_type_j,gamma,b
C12_B1,C12_B1,1.000012745359672,
C12_B1,C12_B2,1.000014795684385,
C12_B1,C12_B3,1.0000257080737567,0.9264632258511472
C12_B1,C12_B4,1.0000127023867957,
C12_B1,C4H_B1,1.0000145410537173,
C12_B1,C4H_B2,1.0000143446933603,
C12_B1,H2O_B1,1.0008002506260592,
C12_B2,C12_B2,1.0000192741522291,
C12_B2,C12_B3,1.0000168383970784,
C12_B2,C12_B4,1.0000337566687887,0.92643006644713
C12_B2,C4H_B1,1.000013547371713,
C12_B2,C4H_B2,1.0000137147942973,
C12_B2,H2O_B1,1.000719156667991,
C12_B3,C12_B3,1.0000104207534133,
C12_B3,C12_B4,1.0000226214138435,0.926134793243533
C12_B3,C4H_B1,1.0000142464006714,
C12_B3,C4H_B2,1.000014157499091,
C12_B3,H2O_B1,1.0008135138165328,
C12_B4,C12_B4,1.000013860013965,
C12_B4,C4H_B1,1.0000137758089063,
C12_B4,C4H_B2,1.0000137922639931,
C12_B4,H2O_B1,1.0007815799586763,
C4H_B1,C4H_B1,1.0000003858822033,
C4H_B1,C4H_B2,1.0000007128723818,0.9920098111593099
C4H_B1,H2O_B1,0.9999340888211821,
C4H_B2,C4H_B2,1.00000033839644,
C4H_B2,H2O_B1,0.9999340543777562,
H2O_B1,H2O_B1,0.996549853046178,
